url,title,price,techs
https://parsemachine.com/sandbox/catalog/tovar-1/,Товар №1,"15,300","{'Ширина': '31 см.', 'Высота': '41 см.', 'Глубина': '51 см.'}"
https://parsemachine.com/sandbox/catalog/tovar-12/,Товар №12,"2,600","{'Ширина': '312 см.', 'Высота': '412 см.', 'Глубина': '512 см.'}"
https://parsemachine.com/sandbox/catalog/tovar-11/,Товар №11,"11,300","{'Ширина': '311 см.', 'Высота': '411 см.', 'Глубина': '511 см.'}"
https://parsemachine.com/sandbox/catalog/tovar-10/,Товар №10,"6,900","{'Ширина': '310 см.', 'Высота': '410 см.', 'Глубина': '510 см.'}"
https://parsemachine.com/sandbox/catalog/tovar-9/,Товар №9,"11,000","{'Ширина': '39 см.', 'Высота': '49 см.', 'Глубина': '59 см.'}"
https://parsemachine.com/sandbox/catalog/tovar-7/,Товар №7,"12,000","{'Ширина': '37 см.', 'Высота': '47 см.', 'Глубина': '57 см.'}"
https://parsemachine.com/sandbox/catalog/tovar-8/,Товар №8,"17,000","{'Ширина': '38 см.', 'Высота': '48 см.', 'Глубина': '58 см.'}"
https://parsemachine.com/sandbox/catalog/tovar-6/,Товар №6,"2,100","{'Ширина': '36 см.', 'Высота': '46 см.', 'Глубина': '56 см.'}"
https://parsemachine.com/sandbox/catalog/tovar-108/,Товар №108,"14,500","{'Ширина': '3108 см.', 'Высота': '4108 см.', 'Глубина': '5108 см.'}"
https://parsemachine.com/sandbox/catalog/tovar-117/,Товар №117,"19,000","{'Ширина': '3117 см.', 'Высота': '4117 см.', 'Глубина': '5117 см.'}"
https://parsemachine.com/sandbox/catalog/tovar-116/,Товар №116,"10,500","{'Ширина': '3116 см.', 'Высота': '4116 см.', 'Глубина': '5116 см.'}"
https://parsemachine.com/sandbox/catalog/tovar-115/,Товар №115,"13,700","{'Ширина': '3115 см.', 'Высота': '4115 см.', 'Глубина': '5115 см.'}"
